Designator,Mid X,Mid Y,Layer,Rotation
C_ADC,69.250000,-45.500000,Top,0
C_AMP,53.500000,-47.000000,Top,0
C_AMP_BULK,58.500000,-49.000000,Top,0
C_BUCK_HF,39.200000,-16.490000,Top,180
C_BUCK_IN,40.000000,-11.000000,Top,180
C_BUCK_OUT1,43.500000,-14.000000,Top,90
C_BUCK_OUT2,42.500000,-17.000000,Top,0
C_CAM_AVDD,41.250000,-47.800000,Top,0
C_CAM_DVDD,43.500000,-47.800000,Top,0
C_CAM_RST,39.000000,-47.800000,Top,0
C_EFUSE_DVDT,32.000000,-21.500000,Top,90
C_EFUSE_IN,31.000000,-19.250000,Top,180
C_EN,6.000000,-42.000000,Top,90
C_FF,41.750000,-18.750000,Top,0
C_IMU,49.500000,-30.000000,Top,90
C_IMU_CP,49.500000,-26.500000,Top,0
C_IMU_REG,46.250000,-35.000000,Top,270
C_IMU_VLOGIC,49.500000,-34.000000,Top,0
C_LCD,45.250000,-5.000000,Top,0
C_LDO15_IN,52.500000,-58.500000,Top,0
C_LDO15_OUT,55.000000,-56.000000,Top,90
C_LDO28_IN,26.500000,-55.500000,Top,0
C_LDO28_OUT,29.000000,-53.000000,Top,90
C_LED,18.500000,-18.000000,Top,0
C_MIC,13.500000,-47.000000,Top,0
C_NTC,68.250000,-50.500000,Top,0
C_PWM,57.000000,-24.500000,Top,90
C_TOUCH,24.500000,-49.500000,Top,0
C_TOUCH_VREG,24.500000,-47.000000,Top,0
C_U1,3.000000,-42.000000,Top,270
C_U1_BULK,1.300000,-42.500000,Top,270
C_VMOT_BULK,70.500000,-14.800000,Top,0
C_VMOT_HF,69.750000,-8.750000,Top,0
D_LED,18.000000,-16.000000,Top,0
D_USB_DN,21.750000,-6.500000,Top,90
D_USB_DP,26.500000,-11.000000,Top,0
D_VMOT_TVS,72.000000,-22.750000,Top,0
F_USB,35.000000,-4.750000,Top,90
J_CAM,40.000000,-54.000000,Top,180
J_USB,28.000000,-4.700000,Top,180
L_BUCK,35.650000,-14.000000,Top,180
Q_HEAT,76.000000,-44.000000,Top,0
Q_REV,82.000000,-21.750000,Top,0
R_AMP_SD,54.750000,-53.000000,Top,0
R_BOOT,13.000000,-16.500000,Top,0
R_BUCK_EN,40.000000,-18.500000,Top,90
R_CAM_PWDN,34.500000,-47.800000,Top,0
R_CAM_RST,36.750000,-47.800000,Top,0
R_CC1,21.500000,-4.500000,Top,0
R_CC2,31.750000,-10.750000,Top,0
R_EFUSE_ILM,37.500000,-18.750000,Top,0
R_EN,4.500000,-42.000000,Top,90
R_FB1,36.750000,-10.750000,Top,0
R_FB2,38.250000,-9.250000,Top,0
R_GATE,75.250000,-41.500000,Top,0
R_GATE_PD,73.000000,-44.750000,Top,90
R_LCD_CLK,47.500000,-5.000000,Top,0
R_LCD_MOSI,44.500000,-3.250000,Top,90
R_MIC_SD,14.750000,-53.000000,Top,0
R_NTC,70.500000,-50.500000,Top,0
R_OE,57.250000,-27.000000,Top,90
R_REV,85.250000,-20.500000,Top,0
R_SCL,23.000000,-34.000000,Top,0
R_SDA,23.000000,-32.000000,Top,0
R_SIOC,27.750000,-57.000000,Top,0
R_SIOD,30.250000,-57.000000,Top,0
R_STAR,66.000000,-32.000000,Top,90
R_TOUCH_REXT,34.500000,-44.000000,Top,0
SW_BOOT,12.000000,-13.000000,Top,0
SW_RST,12.000000,-6.000000,Top,0
U1,6.750000,-30.000000,Top,90
U_ADC,70.000000,-48.000000,Top,0
U_AMP,54.000000,-50.000000,Top,0
U_BUCK,40.000000,-14.000000,Top,0
U_EFUSE,34.500000,-19.000000,Top,0
U_IMU,46.000000,-30.000000,Top,0
U_LDO15,52.000000,-56.000000,Top,0
U_LDO28,26.000000,-53.000000,Top,0
U_MIC,14.000000,-50.000000,Top,0
U_PWM,62.000000,-25.600000,Top,0
U_TOUCH,30.000000,-46.000000,Top,0
